id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
101152,Crystal Crisis,https://www.igdb.com/g/261s,7.7,Main Game,"[""Jul 31, 2019 (Worldwide [WW])"", ""May 28, 2019 (Worldwide [WW])"", ""May 28, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4""]","[""Arcade"", ""Fighting"", ""Indie"", ""Puzzle""]","[""Action"", ""Fantasy"", ""Science fiction""]","[""Nicalis, Inc.""]",
118218,Tom Clancy's Ghost Recon: Breakpoint,https://www.igdb.com/g/2j7u,6.324700768078718,Main Game,"[""Nov 16, 2020 (Worldwide [WW])"", ""Nov 16, 2020 (Worldwide [WW])"", ""2019 (Worldwide [WW])"", ""Oct 04, 2019 (Worldwide [WW])"", ""Oct 04, 2019 (Worldwide [WW])"", ""Oct 04, 2019 (Worldwide [WW])""]","[""PlayStation 5"", ""Xbox Series X|S"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""Google Stadia"", ""Xbox One""]","[""Adventure"", ""Shooter"", ""Tactical""]","[""Action"", ""Open world"", ""Stealth"", ""Warfare""]","[""Ubisoft Paris"", ""Ubisoft Milan"", ""Ubisoft Odesa"", ""Ubisoft Bucharest"", ""Ubisoft Kyiv"", ""Ubisoft Montpellier"", ""Ubisoft Bordeaux"", ""Ubisoft Belgrade"", ""Ubisoft Entertainment""]",
103338,Daemon X Machina,https://www.igdb.com/g/27qi,7.003604112209556,Main Game,"[""Sep 12, 2019 (Europe [EU])"", ""Sep 13, 2019 (Worldwide [WW])"", ""Feb 13, 2020 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Shooter""]","[""Action"", ""Science fiction""]","[""XSEED Games"", ""Marvelous"", ""Marvelous First Studio"", ""Nintendo""]",
116795,Mario & Sonic at the Olympic Games Tokyo 2020,https://www.igdb.com/g/2i4b,7.199604563042677,Main Game,"[""Nov 08, 2019 (Europe [EU])"", ""Nov 05, 2019 (North America [NA])"", ""Nov 01, 2019 (Japan [JP])"", ""Nov 08, 2019 (Australia [AU])"", ""2019 (Brazil [BR])""]","[""Nintendo Switch""]","[""Sport""]","[""Action"", ""Party""]","[""Sega"", ""Sega Games""]",
103018,Team Sonic Racing,https://www.igdb.com/g/27hm,6.98892597918904,Main Game,"[""May 21, 2019 (Worldwide [WW])"", ""May 21, 2019 (Worldwide [WW])"", ""May 21, 2019 (Worldwide [WW])"", ""May 21, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One""]","[""Arcade"", ""Racing""]","[""Science fiction""]","[""Sega"", ""Sumo Digital"", ""Sumo Nottingham"", ""Sega Games""]",
55047,The Dark Pictures Anthology: Man of Medan,https://www.igdb.com/g/16h3,6.769463114701162,Main Game,"[""Aug 30, 2019 ()"", ""Aug 30, 2019 ()"", ""Aug 29, 2019 (Worldwide [WW])"", ""May 04, 2023 (Worldwide [WW])"", ""Sep 28, 2022 (Worldwide [WW])"", ""Sep 28, 2022 (Worldwide [WW])""]","[""PlayStation 5"", ""Xbox Series X|S"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One""]","[""Adventure""]","[""Horror"", ""Mystery"", ""Survival""]","[""Bandai Namco Entertainment"", ""Supermassive Games""]",
119298,Blair Witch,https://www.igdb.com/g/2k1u,7.295750398039338,Main Game,"[""Jun 25, 2020 (Worldwide [WW])"", ""Aug 30, 2019 (Worldwide [WW])"", ""Dec 03, 2019 (Worldwide [WW])"", ""Aug 30, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One""]","[""Adventure"", ""Indie""]","[""Action"", ""Horror"", ""Survival"", ""Thriller""]","[""Bloober Team""]",
51528,Telling Lies,https://www.igdb.com/g/13rc,6.465276386993086,Main Game,"[""Aug 23, 2019 (Worldwide [WW])"", ""Apr 28, 2020 (Worldwide [WW])"", ""Aug 23, 2019 (Worldwide [WW])"", ""Apr 28, 2020 (Worldwide [WW])"", ""Apr 28, 2020 (Worldwide [WW])"", ""Aug 23, 2019 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One"", ""iOS""]","[""Indie"", ""Point-and-click"", ""Simulator""]","[""Mystery"", ""Thriller""]","[""Furious Bee Limited"", ""Sam Barlow"", ""Annapurna Interactive"", ""Half Mermaid""]",
101211,Rage 2,https://www.igdb.com/g/263f,6.9259302738774835,Main Game,"[""May 13, 2019 (Worldwide [WW])"", ""May 14, 2019 (Worldwide [WW])"", ""Nov 19, 2019 (Worldwide [WW])"", ""May 14, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""PlayStation 4"", ""Google Stadia"", ""Xbox One""]","[""Adventure"", ""Racing"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Science fiction"", ""Stealth"", ""Survival""]","[""id Software"", ""Bethesda Softworks"", ""Avalanche Studios""]",
11542,Shenmue III,https://www.igdb.com/g/8wm,6.489919481428148,Main Game,"[""Nov 19, 2019 (Worldwide [WW])"", ""Nov 19, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""PlayStation 4""]","[""Adventure"", ""Fighting"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Historical"", ""Mystery"", ""Open world"", ""Romance""]","[""Shibuya Productions"", ""Deep Silver"", ""Neilo Inc"", ""Ys Net"", ""ININ Games""]",
